text,label
The sponsor may terminate immediately without notice.,high
A penalty of Rs 500000 shall apply for any missed obligation.,high
The company may change obligations at any time.,high
The sponsor has sole discretion to reject performance without explanation.,high
The penalty amount shall be decided later by the sponsor.,high
The player shall be liable for all losses of the sponsor of any kind.,high
This agreement renews automatically unless cancelled ninety days earlier.,medium
Either party may terminate with thirty days notice.,low
Payment shall be made within fifteen business days.,low
The agreement is valid for twelve months.,low
The sponsor may suspend benefits immediately upon dissatisfaction.,high
The company may terminate the contract for any reason whatsoever.,high
The player shall have no right to dispute deductions.,high
Any delay may result in immediate suspension and financial penalty.,high
The sponsor may revise terms unilaterally during the contract period.,high
The agreement shall automatically renew for successive one-year terms.,medium
The company may alter payment dates with prior written notice.,medium
Either side may terminate after a ten day cure period.,low
The parties shall maintain confidentiality of all private information.,low
Disputes shall be resolved by arbitration in Mumbai.,low
Failure to attend one event shall cause immediate forfeiture of all fees.,high
The contractor shall pay unlimited damages for any breach.,high
The sponsor may withhold payment at its sole discretion.,high
Renewal shall occur automatically unless notice is given sixty days before expiry.,medium
The company may modify branding requirements from time to time.,medium
All invoices are payable within seven days.,low
The agreement may be ended by mutual consent.,low
Any breach of policy may lead to penalties as determined by the sponsor.,high
The player must follow reasonable and documented guidelines.,low
The sponsor may inspect records upon reasonable notice.,low
The agreement may be terminated if breach is not cured within fifteen days.,low
The player must compensate the sponsor for all indirect and future losses.,high
This contract shall continue indefinitely unless terminated.,medium
The employer may change work location without additional compensation.,medium
The player waives all claims against the sponsor permanently.,high
The sponsor may recover any amount it deems appropriate.,high
Payment may be delayed due to internal review.,medium
Late delivery will result in a fixed penalty of Rs 5000.,medium
The athlete shall not endorse competing brands during the term.,medium
The term shall be twelve months from the effective date.,low
The parties shall first attempt negotiation in good faith.,low
The company may terminate immediately in case of misconduct.,medium
The sponsor may cancel the agreement for reputational concerns.,medium
All confidential materials shall be returned upon request.,low
The player has no right to terminate the agreement before expiry.,high
The sponsor alone may decide whether performance is satisfactory.,high
This agreement may be renewed by mutual written consent.,low
The contract shall renew automatically for another year unless objected.,medium
The company may increase obligations without revising payment.,high
The player shall bear all taxes penalties claims and liabilities.,high
Either party may terminate with sixty days written notice.,low
The sponsor may adjust campaign schedules as needed.,medium
The service provider shall comply with all lawful instructions.,low
The player shall deposit security which may be forfeited fully.,high
The sponsor can delay approval indefinitely.,high
The parties shall cooperate in good faith during the term.,low
The agreement shall end automatically on the expiry date.,low
The sponsor may impose additional duties from time to time.,medium
The contractor shall pay liquidated damages of Rs 25000 for delay.,medium
This agreement is subject to laws of India.,low
The company may change the terms by email notice only.,high
Any dispute shall be referred to arbitration.,low
The player cannot challenge the sponsors final decision.,high
The sponsor may terminate the contract if market conditions change.,medium
The contract may be cancelled for repeated breaches after notice.,low
The service fee may be revised after periodic review.,medium
The sponsor may reject deliverables without assigning reasons.,high
The player must attend two events each month.,low
The agreement shall remain in force until further notice.,medium
The company can impose fines for non-compliance as it deems fit.,high
The sponsor may deduct losses directly from pending fees.,medium
The athlete must maintain public image standards.,medium
The sponsor shall pay compensation monthly.,low
The sponsor may publish the players personal details without restriction.,high
The vendor shall keep all client data confidential.,low
The agreement may be renewed automatically unless terminated.,medium
The player may be removed immediately for minor policy violations.,high
The parties shall resolve disputes in competent courts.,low
The sponsor may terminate immediately without notice or compensation.,high
A penalty of Rs 5000000 shall apply for any missed promotional obligation.,high
The company may change player obligations at any time without consent.,high
The sponsor has sole discretion to reject performance without explanation.,high
The penalty amount shall be decided later by the sponsor unilaterally.,high
The player shall be liable for all losses of the sponsor of any kind.,high
The franchise may suspend salary immediately upon dissatisfaction with performance.,high
The company may terminate the contract for any reason whatsoever.,high
The player shall have no right to dispute deductions from payments.,high
Any delay in reporting may result in immediate suspension and financial penalty.,high
The sponsor may revise contract terms unilaterally during the agreement period.,high
Failure to attend one promotional event shall cause immediate forfeiture of all fees.,high
The contractor shall pay unlimited damages for any breach of contract.,high
The sponsor may withhold payment at its sole and absolute discretion.,high
The player must compensate the sponsor for all indirect and future losses.,high
The player waives all claims against the sponsor permanently and irrevocably.,high
The sponsor may recover any amount it deems appropriate without limitation.,high
The sponsor may terminate the agreement without providing any justification.,high
The player shall pay all legal costs incurred by the sponsor irrespective of outcome.,high
The franchise may suspend the player indefinitely without compensation.,high
The sponsor reserves the right to modify payment terms without prior approval.,high
The player shall be responsible for any reputational damage caused to the brand.,high
The company may impose additional obligations without increasing compensation.,high
The player shall indemnify the sponsor against all third-party claims without limit.,high
The franchise may deduct any amount from salary at its sole discretion.,high
The sponsor may terminate the contract upon negative media coverage.,high
The player shall not engage in any competing activity globally for 10 years.,high
The sponsor may alter deliverables without mutual consent.,high
The player waives all rights to dispute termination decisions.,high
The franchise may impose financial penalties without defined limits.,high
The sponsor may delay payments indefinitely due to internal approvals.,high
The player must accept all future amendments without objection.,high
The sponsor may assign the contract to any entity without consent.,high
The player shall bear all operational risks associated with performance.,high
The sponsor may unilaterally determine breach of contract.,high
The franchise may reduce compensation without prior notice.,high
The player agrees to exclusive rights transfer without additional compensation.,high
The sponsor may enforce obligations beyond agreed scope.,high
The player shall not challenge sponsor decisions in any forum.,high
The franchise may terminate contract upon subjective dissatisfaction.,high
The sponsor may claim damages without proof of loss.,high
The player shall accept all disciplinary actions without appeal.,high
The company may change jurisdiction without consent.,high
The player shall provide unlimited availability for sponsor events.,high
The sponsor may use player's identity for commercial use indefinitely.,high
The franchise may impose penalties exceeding contract value.,high
The player waives all employment-related rights under applicable law.,high
The player has no right to terminate the agreement before expiry under any circumstance.,high
The sponsor alone may decide whether performance is satisfactory or not.,high
The company may increase obligations without revising payment terms.,high
The player shall bear all taxes penalties claims and liabilities of sponsor.,high
The player shall deposit security of Rs 2000000 which may be forfeited fully.,high
text,label
The sponsor may terminate immediately without notice or compensation.,high
A penalty of Rs 10000000 shall apply for any missed promotional obligation.,high
