text,label
The sponsor shall pay Rs 500000 to the player within 30 days.,payment
Payment shall be made in four equal installments.,payment
The amount payable under this agreement is Rs 200000.,payment
The company shall pay the consultant a monthly fee of Rs 50000.,payment
All invoices must be paid within fifteen business days.,payment
The first installment shall be released on signing of the agreement.,payment
A signing bonus of Rs 100000 shall be paid to the athlete.,payment
The license fee shall be payable annually in advance.,payment
The purchaser shall remit the full amount by bank transfer.,payment
The advertiser shall pay the agency a service fee every month.,payment
The balance consideration shall be paid on completion of services.,payment
The sponsor agrees to reimburse travel expenses incurred by the player.,payment
Fees shall be paid in Indian Rupees only.,payment
A non-refundable advance of Rs 75000 shall be deposited.,payment
The client shall clear all dues within seven days of receipt of invoice.,payment
The sponsor shall pay Rs 25000000 in quarterly installments.,payment
The Player shall receive a milestone bonus of Rs 1000000 upon scoring 500 runs in a single season.,payment
A performance incentive of Rs 500000 is payable if the Athlete maintains a top 10 national ranking.,payment
The Club shall pay a clean-sheet bonus to the Goalkeeper for every match without a conceded goal.,payment
The Franchise agrees to a 10% increase in base salary if the Team qualifies for the semi-finals.,payment
An 'Emerging Player' bonus shall be disbursed if the Athlete is selected for the national squad.,payment
The Sponsor shall provide an additional Rs 200000 for every 'Man of the Match' award won.,payment
The Player is entitled to a loyalty bonus of Rs 1500000 upon completion of three consecutive years.,payment
If the Team wins the Championship each member shall receive a fixed sum of Rs 1000000.,payment
The Brand shall pay a bonus for every social media post that exceeds one million organic views.,payment
The Organization agrees to pay a transition fee if the Player is traded to a higher division.,payment
Match fees of Rs 500000 shall be credited within 7 working days after each completed fixture.,payment
Royalties shall be paid at the end of each quarter.,payment
The brand will compensate the influencer with Rs 30000 per campaign.,payment
The buyer shall make payment through NEFT.,payment
Compensation shall include a fixed fee and performance bonus.,payment
The vendor shall receive payment after successful delivery.,payment
The franchise shall pay the player an annual fee of Rs 5000000 in four equal installments.,payment
The sponsor agrees to release 50% of the payment upon signing and remaining after campaign completion.,payment
Delayed payment beyond 30 days shall attract a penalty of 10% interest.,payment
The league shall disburse prize money within 60 days of tournament completion.,payment
The brand agrees to pay the influencer Rs 100000 per promotional post.,payment
The team shall pay the player match fees after each game.,payment
Sponsorship amount shall be credited within 15 days.,payment
The league will release funds after verification of documents.,payment
Payment shall be subject to tax deductions as per law.,payment
The club agrees to pay signing bonus upon contract execution.,payment
The franchise shall clear dues before the start of the season.,payment
All payments shall be processed through official banking channels.,payment
The player shall receive bonus upon achieving milestones.,payment
The sponsor shall pay marketing fees quarterly.,payment
Payment is contingent upon successful completion of deliverables.,payment
Either party may terminate this agreement by giving thirty days written notice.,termination
The sponsor may terminate the agreement upon material breach.,termination
This contract may be terminated immediately for fraud or misconduct.,termination
The company has the right to terminate services if obligations are not met.,termination
The agreement shall stand terminated upon insolvency of either party.,termination
The Club may terminate this agreement if the Player brings the sport into disrepute via social media.,termination
Engagement in illegal betting or match-fixing shall result in immediate contract nullification.,termination
Any arrest or criminal conviction of the Player allows the Sponsor to rescind the deal without pay.,termination
Publicly criticizing the Team’s management or coaching staff is a breach of the conduct policy.,penalty
The Player shall be fined 15% of their monthly fee for any unexcused absence from training.,penalty
Violating the league's anti-corruption code shall lead to a permanent ban and contract termination.,termination
Win bonus of Rs 2000000 shall be disbursed within 14 days of championship victory.,payment
The Athlete agrees to undergo random drug testing at the request of the Sports Authority.,other
Any involvement in public brawls or disorderly conduct shall trigger a high-risk penalty fee.,penalty
The Sponsor may suspend payments if the Player is suspended by the National Federation.,other
The employer may end this contract by serving prior notice.,termination
The franchise may terminate if player ranking falls below top 100.,termination
Termination shall be effective from the date of written communication.,termination
The contract may be cancelled if the player misses three events.,termination
The parties may mutually terminate the agreement at any time.,termination
Failure to deliver services may result in termination.,termination
The sponsor may end the arrangement for breach of exclusivity.,termination
This agreement shall automatically terminate upon expiry of the term.,termination
The agreement may be terminated for convenience with sixty days notice.,termination
Repeated violation of policy shall lead to termination.,termination
The partnership may be dissolved by written consent of both parties.,termination
The agreement shall cease to have effect after termination.,termination
The club may terminate the player contract for serious misconduct.,termination
The service provider may terminate if payments remain unpaid.,termination
The contract may be rescinded for misrepresentation.,termination
Either side may terminate after failure to cure breach within ten days.,termination
Either party may terminate this agreement with 30 days written notice.,termination
The franchise may terminate the contract immediately in case of misconduct.,termination
Contract shall terminate automatically if player fails doping test.,termination
The agreement may be terminated if performance targets are not met.,termination
Termination without cause requires a penalty payment of Rs 500000.,termination
The player contract shall terminate upon serious injury.,termination
The league may terminate participation for rule violations.,termination
Failure to attend mandatory events may lead to termination.,termination
The club reserves the right to terminate for indiscipline.,termination
The agreement shall terminate if sponsorship obligations are unmet.,termination
The franchise may terminate due to poor performance.,termination
Contract may end if player breaches anti-corruption code.,termination
The agreement terminates automatically at season end.,termination
Either party may terminate upon breach of conduct policies.,termination
The team may release the player with immediate effect.,termination
A penalty of Rs 10000 shall be imposed for late delivery.,penalty
The player shall pay fine for missing training sessions.,penalty
Penalty shall apply for violation of league rules.,penalty
A fine shall be imposed for late arrival at matches.,penalty
The sponsor shall impose penalties for contract breach.,penalty
Non-compliance shall attract financial consequences.,penalty
Penalty shall be deducted from match fees.,penalty
Violation of code of conduct shall result in penalty.,penalty
Failure to attend media events shall incur penalty.,penalty
The Athlete shall not consume prohibited substances as defined by the World Anti-Doping Agency.,penalty
The club may impose disciplinary fines.,penalty
Each missed obligation will result in penalty charges.,penalty
Delay in payment will attract a penalty of 2 percent per month.,penalty
The player shall be liable to pay damages for missed appearances.,penalty
A late fee of Rs 5000 shall apply to each default.,penalty
Failure to meet deadlines shall result in financial penalty.,penalty
The contractor shall bear a penalty for non-performance.,penalty
Any breach of confidentiality shall invite liquidated damages.,penalty
A sum of Rs 25000 shall be deducted as penalty for delay.,penalty
Non-compliance with branding guidelines shall attract a fine.,penalty
The supplier must pay penalties for defective goods.,penalty
A charge of Rs 1000 per day shall be levied for delay.,penalty
Breach of exclusivity will result in a fixed penalty amount.,penalty
The company may recover losses and impose contractual penalties.,penalty
The athlete shall pay compensation for unauthorised endorsements.,penalty
Missed milestones shall trigger monetary penalties.,penalty
The franchisee shall be penalized for each violation recorded.,penalty
Late submission of reports shall lead to penalty.,penalty
Late payment penalty of 2% per month shall be charged on overdue amounts.,penalty
Absence from training without approval incurs fine of Rs 50000 per day.,penalty
Breach of social media policy attracts penalty of Rs 200000 per violation.,penalty
The lessee shall incur penalties for delayed rent.,penalty
Default in performance will result in deduction from fees.,penalty
A financial sanction shall apply for each missed obligation.,penalty

The player shall not disclose contract terms publicly.,confidentiality
All negotiations shall remain confidential.,confidentiality
The sponsor shall protect proprietary information.,confidentiality
Confidential data shall not be shared with competitors.,confidentiality
The athlete shall not reveal internal strategies.,confidentiality
All business dealings shall remain private.,confidentiality
Confidentiality obligations extend beyond termination.,confidentiality
No party shall leak financial details.,confidentiality
Sensitive data must be encrypted and secured.,confidentiality
The parties agree to strict non-disclosure obligations.,confidentiality
The receiving party shall keep all confidential information secret.,confidentiality
No confidential data shall be disclosed to third parties.,confidentiality
The employee shall not reveal proprietary information.,confidentiality
Trade secrets must be protected at all times.,confidentiality
Both parties agree to maintain strict confidentiality.,confidentiality
Confidential material shall be used only for contract purposes.,confidentiality
The consultant shall not share internal documents.,confidentiality
Sensitive business information must remain private.,confidentiality
The parties shall preserve secrecy of all non-public information.,confidentiality
Disclosure of confidential content is prohibited without consent.,confidentiality
All technical know-how shall be treated as confidential.,confidentiality
The player shall not leak promotional plans to outsiders.,confidentiality
Marketing strategies shared under this agreement are confidential.,confidentiality
The recipient shall return all confidential records on request.,confidentiality
The confidentiality obligation shall survive termination.,confidentiality
Private data may only be accessed by authorized personnel.,confidentiality
The vendor shall not publish client information.,confidentiality
Confidential reports shall not be copied or distributed.,confidentiality
All non-public financial data must be safeguarded.,confidentiality
Breach of confidentiality may lead to legal action.,confidentiality
Both parties agree to keep all contract details confidential.,confidentiality
Disclosure of sensitive information may result in legal action.,confidentiality
The player shall not share internal team strategies publicly.,confidentiality
All contract negotiations and financial terms shall remain strictly confidential.,confidentiality
The player shall not disclose team strategies or tactical information publicly.,confidentiality
Confidentiality obligations survive contract termination for a period of 5 years.,confidentiality

Any dispute shall be resolved by arbitration in Mumbai.,dispute_resolution
All disputes shall be settled through sports arbitration.,dispute_resolution
Any dispute shall be referred to arbitration tribunal.,dispute_resolution
